Saison,Sujet_ID,Mots_Clés
01,1,"carol, life, shoe, kind, mom"
01,2,"marcel, monkey, fun, job, work"
01,3,"love, baby, mom, dad, friend"
01,4,"cute, key, love, date, baby"
02,1,"cat, baby, ben, hand, love"
02,2,"monkey, wind, told, breast, tape"
02,3,"julie, face, love, apartment, eddie"
02,4,"dad, friend, mom, phone, woah"
03,1,"news, deal, message, pick, naked"
03,2,"bed, date, game, shoe, close"
03,3,"friend, love, house, party, supposed"
03,4,"job, work, quit, love, break"
03,5,"work, home, box, dad, number"
03,6,"love, mark, friend, janice, wearing"
04,1,"party, mom, waltham, treeger, friend"
04,2,"love, help, must, book, kathy"
04,3,"emily, baby, married, joshua, wedding"
04,4,"love, work, kathy, head, job"
05,1,"danny, decision, friend, eye, park"
05,2,"frank, sister, thanksgiving, car, game"
05,3,"ben, kiss, kid, pant, second"
05,4,"hand, richard, love, twin, party"
05,5,"ben, work, secret, friend, help"
05,6,"emily, love, cat, work, london"
05,7,"baby, deed, bag, head, happy"
06,1,"ralph, friend, cry, lauren, love"
06,2,"married, love, marriage, divorce, matter"
06,3,"joke, work, move, room, moving"
06,4,"ring, present, break, job, credit"
06,5,"boat, kid, done, paul, fair"
07,1,"santa, face, wedding, ben, life"
07,2,"chair, bike, love, wedding, credit"
07,3,"date, love, candy, weird, fun"
07,4,"dad, love, party, tag, phone"
07,5,"wedding, married, birthday, movie, friend"
07,6,"love, wedding, money, maid, honor"
08,1,"baby, work, love, card, meet"
08,2,"baby, alone, father, picture, mona"
08,3,"baby, pregnant, card, question, fun"
08,4,"baby, love, part, high, school"
08,5,"love, date, baby, sex, work"
08,6,"baby, room, mom, open, month"
09,1,"mike, win, ticket, married, love"
09,2,"propose, ring, drake, dinner, weird"
09,3,"david, mike, emma, love, friend"
09,4,"baby, love, job, mom, parent"
09,5,"baby, emma, sleep, hand, work"
09,6,"love, money, party, birthday, bigger"
09,7,"work, met, doctor, help, home"
10,1,"emma, love, baby, house, birthday"
10,2,"wedding, mike, love, friend, baby"
