Sujet_ID,Mots_Clés
1,"ring, married, end, made, life"
2,"treeger, marcel, monkey, home, room"
3,"job, credit, chair, mom, stupid"
4,"fun, date, help, room, life"
5,"game, pick, dress, smelly, cat"
6,"job, money, christmas, happy, kiss"
7,"ben, cat, santa, pig, home"
8,"dad, party, kid, game, sweet"
9,"wedding, hand, dad, richard, london"
10,"room, made, fun, mike, apartment"
11,"phone, credit, remember, sex, life"
12,"thanksgiving, blah, amy, plate, turkey"
13,"face, book, cat, hand, chick"
14,"frank, credit, opening, pete, crazy"
15,"married, wedding, emma, break, help"
